Series Name,Series Code
"Population ages 30-34, female",SP.POP.3034.FE
"Population ages 30-34, male",SP.POP.3034.MA
"Population ages 35-39, female",SP.POP.3539.FE
"Population ages 35-39, male",SP.POP.3539.MA
"Population ages 40-44, female",SP.POP.4044.FE
"Population ages 40-44, male",SP.POP.4044.MA
"Population ages 45-49, female",SP.POP.4549.FE
"Population ages 45-49, male",SP.POP.4549.MA
"Population ages 50-54, female",SP.POP.5054.FE
"Population ages 50-54, male",SP.POP.5054.MA
"Population ages 55-59, female",SP.POP.5559.FE
"Population ages 55-59, male",SP.POP.5559.MA
"Population ages 60-64, female",SP.POP.6064.FE
"Population ages 60-64, male",SP.POP.6064.MA
"Population ages 65 and above, female",SP.POP.65UP.FE.IN
"Population ages 65 and above, male",SP.POP.65UP.MA.IN
"Population ages 65 and above, total",SP.POP.65UP.TO
"Population ages 65-69, female",SP.POP.6569.FE
"Population ages 65-69, male",SP.POP.6569.MA
"Population ages 70-74, female",SP.POP.7074.FE
"Population ages 70-74, male",SP.POP.7074.MA
"Population ages 75-79, female",SP.POP.7579.FE
"Population ages 75-79, male",SP.POP.7579.MA
"Population ages 80 and above, female",SP.POP.80UP.FE
"Population ages 80 and above, male",SP.POP.80UP.MA
"Population, female",SP.POP.TOTL.FE.IN
"Population, male",SP.POP.TOTL.MA.IN
"Population, total",SP.POP.TOTL
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF
