Series Name,Series Code
People practicing open defecation (% of population),SH.STA.ODFC.ZS
"People practicing open defecation, rural (% of rural population)",SH.STA.ODFC.RU.ZS
"School enrollment, preprimary (% gross)",SE.PRE.ENRR
"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA
"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE
"School enrollment, primary (% gross)",SE.PRM.ENRR
"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA
"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE
"School enrollment, secondary (% gross)",SE.SEC.ENRR
"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE
"School enrollment, tertiary (% gross)",SE.TER.ENRR
"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE
Share of all students in lower secondary education enrolled in vocational programmes (%),UIS.GTVP.2.V
Share of all students in upper secondary education enrolled in vocational programmes (%),UIS.GTVP.3.V
Share of female students in post-secondary non-tertiary education enrolled in vocational programmes (%),UIS.GTVP.4.V.F
Share of male students in lower secondary education enrolled in vocational programmes (%),UIS.GTVP.2.V.M
Share of male students in upper secondary education enrolled in vocational programmes (%),UIS.GTVP.3.V.M
Share of male students in post-secondary non-tertiary education enrolled in vocational programmes (%),UIS.GTVP.4.V.M
Share of female students in upper secondary education enrolled in vocational programmes (%),UIS.GTVP.3.V.F
Share of female students in lower secondary education enrolled in vocational programmes (%),UIS.GTVP.2.V.F
Share of all students in post-secondary non-tertiary education enrolled in vocational programmes (%),UIS.GTVP.4.V
"Vocational and Technical enrolment (% of total secondary enrolment), total",SE.SEC.ENRL.VO.ZS
Age dependency ratio (% of working-age population),SP.POP.DPND
Population ages 0-14 (% of total),SP.POP.0014.TO.ZS
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS
"Population, female (% of total)",SP.POP.TOTL.FE.ZS
Rural population (% of total population),SP.RUR.TOTL.ZS
"Survival to age 65, female, (% of cohort)",SP.DYN.TO65.FE.ZS
"Survival to age 65, male, (% of cohort)",SP.DYN.TO65.MA.ZS
Urban population (% of total population),SP.URB.TOTL.IN.ZS
